Failure : 12, Danger : 11, Collison : 5, Success : 142, Average Reward : -3344.2075471698113, Number of steps : 3099
Failure : 15, Danger : 15, Collison : 9, Success : 156, Average Reward : -5175.711111111111, Number of steps : 3103
Failure : 9, Danger : 27, Collison : 10, Success : 165, Average Reward : -5602.505434782609, Number of steps : 3052
Failure : 9, Danger : 40, Collison : 5, Success : 116, Average Reward : -4095.9846153846156, Number of steps : 3078
Failure : 7, Danger : 12, Collison : 5, Success : 158, Average Reward : -3124.4823529411765, Number of steps : 3094
Failure : 8, Danger : 1, Collison : 3, Success : 229, Average Reward : -1372.05, Number of steps : 3073
Failure : 10, Danger : 44, Collison : 3, Success : 58, Average Reward : -4664.69014084507, Number of steps : 2838
Failure : 12, Danger : 12, Collison : 5, Success : 214, Average Reward : -2293.917748917749, Number of steps : 3068
Failure : 9, Danger : 9, Collison : 1, Success : 209, Average Reward : -593.917808219178, Number of steps : 3086
Failure : 9, Danger : 20, Collison : 7, Success : 171, Average Reward : -3909.4919786096257, Number of steps : 3092
Failure : 6, Danger : 4, Collison : 6, Success : 210, Average Reward : -2836.945945945946, Number of steps : 3088
Failure : 6, Danger : 13, Collison : 1, Success : 192, Average Reward : -651.4924623115578, Number of steps : 3019
Failure : 12, Danger : 11, Collison : 6, Success : 192, Average Reward : -3002.0285714285715, Number of steps : 3077
Failure : 8, Danger : 14, Collison : 9, Success : 193, Average Reward : -4429.645419802584, Number of steps : 3072
Failure : 19, Danger : 35, Collison : 7, Success : 165, Average Reward : -3831.062827225131, Number of steps : 3079
Failure : 10, Danger : 18, Collison : 4, Success : 130, Average Reward : -3000.3263888888887, Number of steps : 3099
Failure : 5, Danger : 9, Collison : 3, Success : 130, Average Reward : -2404.6014492753625, Number of steps : 3112
Failure : 10, Danger : 23, Collison : 2, Success : 177, Average Reward : -1221.994708994709, Number of steps : 3079
Failure : 12, Danger : 30, Collison : 2, Success : 150, Average Reward : -1413.3536585365853, Number of steps : 3084
Failure : 9, Danger : 4, Collison : 2, Success : 197, Average Reward : -1106.9567307692307, Number of steps : 3089
Failure : 10, Danger : 6, Collison : 5, Success : 189, Average Reward : -2599.75, Number of steps : 3079
Failure : 9, Danger : 24, Collison : 5, Success : 160, Average Reward : -3052.2758620689656, Number of steps : 3064
Failure : 7, Danger : 41, Collison : 4, Success : 75, Average Reward : -5041.261374288906, Number of steps : 3101
